#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.11609,7.7,8.7,1.34255e+08,977501,982816,0.569405,0.00167512,0.00168158
5.11609,7.8,8.8,1.68107e+08,1.35757e+06,1.36572e+06,0.573097,0.0017853,0.00179102
5.11609,7.9,8.9,2.11883e+08,1.90111e+06,1.92388e+06,0.576832,0.00194429,0.00195349
5.11609,8,9,2.65357e+08,2.65479e+06,2.66894e+06,0.579801,0.00213362,0.00212645
5.11609,8.1,9.1,3.32759e+08,3.67576e+06,3.72035e+06,0.583469,0.00236597,0.00238055
5.11609,8.2,9.2,4.1414e+08,5.06846e+06,5.0807e+06,0.586156,0.00261503,0.00261429
5.11609,8.3,9.3,5.20341e+08,7.11667e+06,7.14976e+06,0.591348,0.00289736,0.0029275
5.11609,8.4,9.4,6.49194e+08,9.76986e+06,9.87477e+06,0.595899,0.00325492,0.00326192
5.11609,8.5,9.5,8.12794e+08,1.37176e+07,1.39533e+07,0.602385,0.00360974,0.00362639
5.11609,8.6,9.6,1.01279e+09,1.92734e+07,1.95953e+07,0.607789,0.00404012,0.0040185
5.11609,8.7,9.7,1.25835e+09,2.67948e+07,2.74007e+07,0.612895,0.00447901,0.00448029
5.11609,8.8,9.8,1.58184e+09,3.76052e+07,3.88166e+07,0.618,0.00487668,0.00489855
5.11609,8.9,9.9,1.96133e+09,5.19109e+07,5.29996e+07,0.617858,0.00553051,0.00549384
5.11609,9,10,2.43753e+09,7.22607e+07,7.41303e+07,0.620478,0.00626382,0.0061941
5.11609,9.1,10.1,3.12337e+09,1.08003e+08,1.11087e+08,0.622398,0.00718717,0.00716641
5.11609,9.2,10.2,3.81629e+09,1.46417e+08,1.51787e+08,0.626539,0.00829507,0.0082853
5.11609,9.3,10.3,4.70948e+09,2.00264e+08,2.07152e+08,0.627317,0.00925036,0.00925691
5.11609,9.4,10.4,5.75657e+09,2.81154e+08,2.97536e+08,0.633432,0.0103757,0.010233
5.11609,9.5,10.5,7.08258e+09,3.86174e+08,4.06955e+08,0.635568,0.012257,0.0120966
5.11609,9.6,10.6,8.90009e+09,5.83522e+08,6.28499e+08,0.63475,0.0141401,0.0140955
5.11609,9.7,10.7,1.13572e+10,8.85956e+08,9.66523e+08,0.635531,0.0177061,0.0177539
5.11609,9.8,10.8,1.44246e+10,1.28574e+09,1.41404e+09,0.647519,0.0213243,0.0212467
5.11609,9.9,10.9,1.74081e+10,1.77669e+09,1.98065e+09,0.658852,0.0242545,0.0242666
5.11609,10,11,2.06639e+10,2.30687e+09,2.60688e+09,0.653186,0.0265386,0.0260175
5.11609,10.1,11.1,2.939e+10,4.17842e+09,5.02219e+09,0.654619,0.0333973,0.0327962
5.11609,10.2,11.2,3.63547e+10,5.92343e+09,7.2145e+09,0.658753,0.0380686,0.0370992
5.11609,10.3,11.3,4.22437e+10,7.09978e+09,8.75217e+09,0.675446,0.0437331,0.0419219
5.11609,10.4,11.4,5.04201e+10,8.92637e+09,1.11256e+10,0.677902,0.0501577,0.048576
5.11609,10.5,11.5,5.80738e+10,1.04767e+10,1.30181e+10,0.69785,0.0547251,0.0529597
5.15604,7.5,8.5,8.8744e+07,537578,543613,0.564065,0.00155561,0.0015377
5.15604,7.6,8.6,1.09331e+08,726178,729745,0.566829,0.00160277,0.00159534
5.15604,7.7,8.7,1.34055e+08,976730,980789,0.569632,0.00167964,0.00169685
