#mass ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.19665,8.1,9.1,3.319e+08,3.68015e+06,3.71488e+06,0.785725,0.00266654,0.00265042
5.19665,8.2,9.2,4.1216e+08,5.07113e+06,5.08855e+06,0.788102,0.00294325,0.00292728
5.19665,8.3,9.3,5.20344e+08,7.0833e+06,7.23182e+06,0.791284,0.00321653,0.00324001
5.19665,8.4,9.4,6.49439e+08,9.83329e+06,1.00083e+07,0.792323,0.00356598,0.00358553
5.19665,8.5,9.5,8.07791e+08,1.37205e+07,1.38953e+07,0.794655,0.00394109,0.00393592
5.19665,8.6,9.6,1.01043e+09,1.91955e+07,1.95109e+07,0.797202,0.00433709,0.00435792
5.19665,8.7,9.7,1.2596e+09,2.71745e+07,2.73763e+07,0.799886,0.0047603,0.00479896
5.19665,8.8,9.8,1.57696e+09,3.78781e+07,3.8908e+07,0.799822,0.00526924,0.00527453
5.19665,8.9,9.9,1.95539e+09,5.22012e+07,5.34874e+07,0.79634,0.00594711,0.00587025
5.19665,9,10,2.44754e+09,7.32553e+07,7.51761e+07,0.796054,0.00662453,0.00651849
5.19665,9.1,10.1,3.10499e+09,1.07582e+08,1.12246e+08,0.793642,0.00754616,0.00746764
5.19665,9.2,10.2,3.76147e+09,1.42593e+08,1.48717e+08,0.794371,0.0085314,0.00854282
5.19665,9.3,10.3,4.61708e+09,1.93825e+08,2.03279e+08,0.789921,0.00988491,0.00986897
5.19665,9.4,10.4,5.74663e+09,2.89645e+08,3.03712e+08,0.787426,0.0112144,0.0110528
5.19665,9.5,10.5,6.97563e+09,3.86205e+08,4.11248e+08,0.78081,0.0129852,0.0127971
5.19665,9.6,10.6,8.70598e+09,5.63618e+08,6.05288e+08,0.770192,0.0147084,0.0144388
5.19665,9.7,10.7,1.1551e+10,9.44078e+08,1.03607e+09,0.763335,0.0182125,0.0179717
5.19665,9.8,10.8,1.41385e+10,1.26061e+09,1.41053e+09,0.767339,0.0218402,0.0214446
5.19665,9.9,10.9,1.71518e+10,1.753e+09,1.97836e+09,0.776743,0.0245702,0.0244225
5.19665,10,11,2.07869e+10,2.3827e+09,2.71811e+09,0.765254,0.0290951,0.028026
5.19665,10.1,11.1,2.91313e+10,4.13141e+09,4.87834e+09,0.750918,0.0360013,0.0343838
5.19665,10.2,11.2,3.53828e+10,5.73213e+09,7.00383e+09,0.740726,0.0419608,0.0399452
5.19665,10.3,11.3,4.04264e+10,6.74056e+09,8.28737e+09,0.748397,0.0445793,0.0419566
5.19665,10.4,11.4,5.04712e+10,8.96916e+09,1.10163e+10,0.761839,0.049447,0.045781
5.19665,10.5,11.5,5.77561e+10,1.0289e+10,1.27698e+10,0.778352,0.0486873,0.0470903
5.23792,7.5,8.5,8.84146e+07,533903,536372,0.748032,0.00178142,0.0017901
5.23792,7.6,8.6,1.08966e+08,720272,734861,0.755037,0.00187151,0.00187284
5.23792,7.7,8.7,1.3419e+08,986485,998026,0.760979,0.0019356,0.00194918
5.23792,7.8,8.8,1.67702e+08,1.36853e+06,1.39644e+06,0.768025,0.00207223,0.00206444
5.23792,7.9,8.9,2.11487e+08,1.92689e+06,1.92636e+06,0.774383,0.0022572,0.00223984
5.23792,8,9,2.64875e+08,2.6797e+06,2.68508e+06,0.779158,0.00242886,0.00244583
5.23792,8.1,9.1,3.31437e+08,3.69883e+06,3.68378e+06,0.784075,0.00266123,0.00268151
5.23792,8.2,9.2,4.11426e+08,5.01582e+06,5.10122e+06,0.786539,0.00293383,0.00295506
5.23792,8.3,9.3,5.18767e+08,7.08877e+06,7.16506e+06,0.789853,0.00323212,0.00327206
5.23792,8.4,9.4,6.47339e+08,9.87977e+06,9.94198e+06,0.790952,0.00353899,0.00351775
5.23792,8.5,9.5,8.08358e+08,1.38936e+07,1.39618e+07,0.79292,0.00388738,0.00391258
5.23792,8.6,9.6,1.00776e+09,1.93708e+07,1.96624e+07,0.796284,0.00434283,0.00432853
5.23792,8.7,9.7,1.25842e+09,2.72834e+07,2.77148e+07,0.799579,0.00480618,0.00475953
5.23792,8.8,9.8,1.57288e+09,3.79588e+07,3.85646e+07,0.797338,0.00530317,0.00527664
5.23792,8.9,9.9,1.94353e+09,5.22323e+07,5.27004e+07,0.794536,0.00590607,0.00587844
5.23792,9,10,2.43765e+09,7.34556e+07,7.53193e+07,0.793606,0.00666192,0.00654582
5.23792,9.1,10.1,3.09026e+09,1.08455e+08,1.11423e+08,0.791688,0.00758251,0.00752939
5.23792,9.2,10.2,3.74189e+09,1.44491e+08,1.48692e+08,0.793365,0.00862539,0.00862561
5.23792,9.3,10.3,4.57236e+09,1.92465e+08,1.99419e+08,0.789679,0.0100741,0.00998385
5.23792,9.4,10.4,5.72479e+09,2.88206e+08,3.08054e+08,0.785568,0.0114497,0.0113434
5.23792,9.5,10.5,7.00007e+09,3.96577e+08,4.16637e+08,0.77848,0.013301,0.0132098
5.23792,9.6,10.6,8.7259e+09,5.84934e+08,6.22908e+08,0.769875,0.0150984,0.0147219
5.23792,9.7,10.7,1.12945e+10,9.05858e+08,9.94168e+08,0.764073,0.018273,0.0180366
5.23792,9.8,10.8,1.4092e+10,1.27108e+09,1.41275e+09,0.770494,0.0214146,0.0213132
5.23792,9.9,10.9,1.70444e+10,1.75836e+09,1.98471e+09,0.773349,0.0252553,0.0250632
5.23792,10,11,2.07437e+10,2.39129e+09,2.69903e+09,0.772573,0.0297541,0.0296753
5.23792,10.1,11.1,2.89317e+10,4.04679e+09,4.81157e+09,0.749873,0.0359538,0.0339269
5.23792,10.2,11.2,3.53036e+10,5.71745e+09,6.97893e+09,0.735191,0.0415978,0.0390273
5.23792,10.3,11.3,3.95815e+10,6.54974e+09,8.05547e+09,0.74264,0.0437985,0.0412046
5.23792,10.4,11.4,5.02537e+10,8.97561e+09,1.09202e+10,0.756418,0.050126,0.0462625
5.23792,10.5,11.5,5.76865e+10,1.02562e+10,1.28379e+10,0.76812,0.048301,0.0478229
5.27989,7.5,8.5,8.823e+07,539747,540867,0.746474,0.00179481,0.00177753
5.27989,7.6,8.6,1.08962e+08,724503,730315,0.7535,0.00186936,0.00187866
5.27989,7.7,8.7,1.34099e+08,985617,995337,0.759797,0.0019395,0.00194441
5.27989,7.8,8.8,1.67712e+08,1.37307e+06,1.38786e+06,0.766805,0.00208347,0.00208091
5.27989,7.9,8.9,2.10996e+08,1.89926e+06,1.93025e+06,0.772782,0.0022611,0.00222965
5.27989,8,9,2.6436e+08,2.65245e+06,2.69888e+06,0.77757,0.00242554,0.00243207
5.27989,8.1,9.1,3.31371e+08,3.66733e+06,3.73077e+06,0.782463,0.00265336,0.0026613
5.27989,8.2,9.2,4.11286e+08,5.04616e+06,5.14488e+06,0.785156,0.00291339,0.00288525
5.27989,8.3,9.3,5.18184e+08,7.13269e+06,7.15672e+06,0.787788,0.00321067,0.00323445
5.27989,8.4,9.4,6.45653e+08,9.88803e+06,9.97595e+06,0.789206,0.00353954,0.00355499
5.27989,8.5,9.5,8.03891e+08,1.37232e+07,1.38852e+07,0.791637,0.00393349,0.00391421
5.27989,8.6,9.6,1.00574e+09,1.9405e+07,1.96679e+07,0.795901,0.00433372,0.00431125
5.27989,8.7,9.7,1.2593e+09,2.7413e+07,2.77055e+07,0.798264,0.00483202,0.00478591
5.27989,8.8,9.8,1.56803e+09,3.80113e+07,3.88187e+07,0.795241,0.00533516,0.00530287
5.27989,8.9,9.9,1.94338e+09,5.26824e+07,5.38176e+07,0.792684,0.00597816,0.00593324
5.27989,9,10,2.44148e+09,7.50262e+07,7.70409e+07,0.791972,0.00666745,0.0066615
5.27989,9.1,10.1,3.06695e+09,1.07082e+08,1.10356e+08,0.790329,0.00764882,0.00759917
5.27989,9.2,10.2,3.73714e+09,1.45599e+08,1.51038e+08,0.791891,0.00864975,0.00864739
5.27989,9.3,10.3,4.57661e+09,1.9474e+08,2.04949e+08,0.78823,0.0101365,0.0100366
5.27989,9.4,10.4,5.75248e+09,2.95797e+08,3.1196e+08,0.784001,0.0114648,0.0113651
5.27989,9.5,10.5,6.96305e+09,3.99673e+08,4.21899e+08,0.774209,0.0131859,0.013088
5.27989,9.6,10.6,8.64635e+09,5.71999e+08,6.20711e+08,0.76914,0.0149319,0.0146607
5.27989,9.7,10.7,1.12676e+10,9.04218e+08,1.00355e+09,0.76197,0.0179742,0.0175204
5.27989,9.8,10.8,1.39903e+10,1.27027e+09,1.39966e+09,0.766514,0.0213646,0.0210353
5.27989,9.9,10.9,1.70821e+10,1.77187e+09,1.98748e+09,0.766586,0.025682,0.0253337
5.27989,10,11,2.09445e+10,2.43866e+09,2.75693e+09,0.762872,0.029428,0.0292031
5.27989,10.1,11.1,2.81824e+10,3.97878e+09,4.66622e+09,0.736275,0.035831,0.0338033
5.27989,10.2,11.2,3.49366e+10,5.67396e+09,6.88851e+09,0.727904,0.0424221,0.0393085
5.27989,10.3,11.3,3.96386e+10,6.64739e+09,8.06287e+09,0.743519,0.0439399,0.0404293
5.27989,10.4,11.4,5.10982e+10,9.05595e+09,1.13152e+10,0.759661,0.0505818,0.04525
5.27989,10.5,11.5,5.77851e+10,1.0286e+10,1.27917e+10,0.76079,0.0490412,0.0484096
5.32256,7.5,8.5,8.82213e+07,544652,539202,0.745252,0.00180633,0.00179948
5.32256,7.6,8.6,1.08907e+08,732046,739934,0.752234,0.00186858,0.00188774
5.32256,7.7,8.7,1.34339e+08,999813,997595,0.758624,0.00196392,0.00196355
