#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.15604,8,9,2.65089e+08,2.65612e+06,2.66676e+06,0.737304,0.00150352,0.00149811
5.15604,8.1,9.1,3.32141e+08,3.67794e+06,3.69046e+06,0.765869,0.00151438,0.00149449
5.15604,8.2,9.2,4.13028e+08,5.00114e+06,5.12435e+06,0.790269,0.00148724,0.00146803
5.15604,8.3,9.3,5.19414e+08,7.11097e+06,7.13948e+06,0.811754,0.00149339,0.00149363
5.15604,8.4,9.4,6.4903e+08,9.81098e+06,9.93357e+06,0.8297,0.00148791,0.00148336
5.15604,8.5,9.5,8.095e+08,1.37892e+07,1.40328e+07,0.84334,0.00153199,0.00152291
5.15604,8.6,9.6,1.01022e+09,1.92653e+07,1.94341e+07,0.855608,0.00154795,0.00154598
5.15604,8.7,9.7,1.25605e+09,2.71145e+07,2.75938e+07,0.865609,0.00152737,0.00153262
5.15604,8.8,9.8,1.57662e+09,3.76689e+07,3.84771e+07,0.874286,0.00160084,0.00160441
5.15604,8.9,9.9,1.96131e+09,5.24797e+07,5.37941e+07,0.880467,0.00166936,0.00167639
5.15604,9,10,2.44613e+09,7.29594e+07,7.55384e+07,0.885606,0.00179167,0.0017963
5.15604,9.1,10.1,3.10243e+09,1.07043e+08,1.0991e+08,0.888903,0.00193155,0.00193797
5.15604,9.2,10.2,3.77904e+09,1.43384e+08,1.48827e+08,0.891481,0.00209155,0.0021108
5.15604,9.3,10.3,4.62697e+09,1.92533e+08,2.02534e+08,0.893155,0.00233291,0.00231479
5.15604,9.4,10.4,5.71878e+09,2.82954e+08,2.9853e+08,0.893625,0.00255167,0.00257073
5.15604,9.5,10.5,7.08789e+09,3.9652e+08,4.20267e+08,0.893646,0.00275656,0.00277933
5.15604,9.6,10.6,8.7499e+09,5.68529e+08,6.19082e+08,0.894942,0.00308485,0.00316365
5.15604,9.7,10.7,1.1282e+10,8.82172e+08,9.67286e+08,0.895107,0.0034712,0.00355512
5.15604,9.8,10.8,1.41285e+10,1.25966e+09,1.40057e+09,0.895472,0.00392215,0.00401824
5.15604,9.9,10.9,1.73439e+10,1.77855e+09,1.99946e+09,0.895845,0.00460767,0.00474327
5.15604,10,11,2.08245e+10,2.36424e+09,2.69741e+09,0.895816,0.00522108,0.00526548
5.15604,10.1,11.1,2.90103e+10,4.13286e+09,4.84727e+09,0.894059,0.00659271,0.00676411
5.15604,10.2,11.2,3.57475e+10,5.73108e+09,7.07047e+09,0.895939,0.00745141,0.00775479
5.15604,10.3,11.3,4.11936e+10,6.91627e+09,8.47193e+09,0.893488,0.00783015,0.00795686
5.15604,10.4,11.4,4.98374e+10,8.92954e+09,1.09586e+10,0.895483,0.00883205,0.00880035
5.15604,10.5,11.5,5.87083e+10,1.06433e+10,1.32378e+10,0.894014,0.010044,0.0102782
